human_r1	human_r2	mouse_r1	mouse_r2	cattle_r1	cattle_r2	pig_r1	pig_r2	opossum_r1	opossum_r2
ENSG00000189306:RRP7A	21.17	18.48	80.97	62.34	20.39	20.94	1.56	3.92	18.22	82.22
ENSG00000189319:FAM53B	3.12	5.46	16.76	11.84	6.18	6.62	0.37	1.16	1.3	3.08
ENSG00000189320:FAM180A	0.43	0.24	0.96	1.03	2.88	1.15	0.05	0.1	0.09	0.28
ENSG00000189325:BNIP5	0	0	7.86	21.69	2.85	0.5	0.26	0.52	65.81	5.85
ENSG00000189334:S100A14	0	0.19	13.19	11.65	590.76	766.07	64.63	56.42	364.05	619.08
ENSG00000189337:KAZN	30.32	33.57	130.98	52.19	51.68	37.62	1.86	6.77	2.97	2.84
ENSG00000189339:SLC35E2B	24.58	27.48	10.02	6.41	4.27	4.83	0.89	2.96	6.25	1.73
ENSG00000189350:TOGARAM2	0.29	0.33	0.04	0.03	0.18	0.2	0.01	0.01	0.27	0.13
ENSG00000189362:NEMP2	1.05	1.73	2.48	2.34	4.48	5.06	0.27	0.71	1.24	0.66
ENSG00000189367:KIAA0408	0.09	0.38	0.03	0.04	0.35	1.13	0.08	0.24	0.2	0
ENSG00000189376:C8orf76	14.14	16.71	18.35	14.7	8.16	7.14	3.02	5.96	2.54	1.79
ENSG00000189409:MMP23B	2.07	7.47	36.3	36.84	3.43	3.68	0.4	1.29	1.73	13.39
ENSG00000189410:SH2D5	45.87	54.09	5.93	2.16	0.22	0.06	0.03	0.02	0	0
ENSG00000189431:RASSF10	0	0.02	1.48	0.29	0.18	0.15	0.01	0.06	5.32	8.3
ENSG00000189433:GJB4	0.26	0.92	5.85	2.95	20.74	27.95	0	0	167.36	99.49
ENSG00000196074:SYCP2	3.66	7.81	2.03	0.43	0.14	0.67	0.56	0.77	0.75	0.3
ENSG00000196083:IL1RAP	59.13	91.73	6.15	3.9	2.64	1.42	1.52	1.57	31.39	14.8
ENSG00000196090:PTPRT	0.21	0.62	0.07	0.02	0.01	0.01	0	0	0.64	0.19
ENSG00000196091:MYBPC1	0.01	0	0.1	0	0	0	0.12	0.18	0.16	0.07
ENSG00000196092:PAX5	0.12	0.1	0.2	0.86	0	0	0	0.11	0	0
ENSG00000196116:TDRD7	6.04	8.05	28.86	32.84	19.12	14.43	1.59	2.83	12.66	5.9
ENSG00000196118:CFAP119	0.72	1.35	4.1	5.19	3.01	4.69	0.01	0.25	13.09	4.41
ENSG00000196123:MATCAP1	8.65	16.49	1.58	2.31	1.33	1.39	0.28	0.8	4.16	2.96
ENSG00000196132:MYT1	0.05	0.04	0.08	0.06	0.08	0	0.01	0	0.05	0.04
ENSG00000196141:SPATS2L	22.32	38.72	6.87	13.06	50.49	33.54	6.16	11.74	37.16	17.54
ENSG00000196151:WDSUB1	12.86	15.84	18.09	12.75	14.38	17.82	2.29	5	9.12	6.26
ENSG00000196154:S100A4	18.27	37.73	16.94	26.79	23.54	55.67	0.3	0.42	74.51	372.11
ENSG00000196155:PLEKHG4	4.54	4.67	1.21	2.71	18.62	24.47	0.01	0.02	0.16	0.13
ENSG00000196159:FAT4	2.6	3.07	6.36	1.13	1.31	2.07	1.3	2.79	0.47	0.17
ENSG00000196177:ACADSB	4.54	6.26	41.14	32.47	5.65	3.12	1.75	2.34	42.38	2.27
ENSG00000196182:STK40	46.96	48.97	35.07	23.83	65	58.76	2.12	6.67	94.42	37.7
ENSG00000196187:TMEM63A	42.84	66.62	21.76	15.79	23.56	29.09	2.25	4.88	54.69	24.21
ENSG00000196189:SEMA4A	6.79	7.21	3.42	27.35	12.52	9.37	1.38	3.25	3.52	9.46
ENSG00000196199:MPHOSPH8	21.05	33.9	13.75	9.59	51.04	44.6	4.88	12.65	110.61	5.89
ENSG00000196208:GREB1	0.79	1.14	2.47	11.49	7.46	5.96	0.37	0.46	0.03	0
ENSG00000196218:RYR1	0.62	1.92	0.07	0.03	0.15	0.15	0.01	0.03	0.68	0.8
ENSG00000196220:SRGAP3	1	2.97	30.99	12.59	1.43	0.63	0.4	1.29	0.31	0.02
ENSG00000196227:FAM217B	5.46	7.36	1.28	0.88	0.68	0.81	0.37	1	0.11	0.16
ENSG00000196228:SULT1C3	0	0	0.09	0	0.04	0	0.01	0.01	0	0.07
ENSG00000196230:TUBB	171.79	174.51	153.03	129.47	337.49	313.11	34	75.64	67.63	147.47
ENSG00000196235:SUPT5H	59.68	87.81	140.25	80.42	84.63	85.52	4.16	11.95	92.29	77.85
ENSG00000196236:XPNPEP3	6.81	8.06	10.57	7.22	2.87	2.73	1.34	2.91	13.68	24.58
ENSG00000196277:GRM7	0.3	0.21	0.03	0	0	0	0.31	0.57	0.15	0.07
ENSG00000196284:SUPT3H	3.63	4.74	7.37	6.86	7.18	6.98	0.46	0.91	10.03	10.92
ENSG00000196289:BECN2	0.08	0.38	0	0	0	0	0	0	146.69	74.13
ENSG00000196290:NIF3L1	30.63	32.14	11.65	11.74	10.58	10.13	1.03	2.06	22.98	12.89
ENSG00000196296:ATP2A1	5.11	6.26	2.84	2.71	1.74	1.05	0.02	0.06	1.42	3.9
ENSG00000196305:IARS1	21.04	22.77	28.06	22.45	14.48	13.05	6.98	11.62	26.08	24.53
ENSG00000196338:NLGN3	0.83	2.16	0.04	0.17	10.22	12.13	0.37	1.28	8.06	15.27
ENSG00000196344:ADH7	0	0.03	0.16	0.23	0	0	0	0.1	1.32	0.46
ENSG00000196353:CPNE4	0	0	0.03	0	0	0	0.13	0.59	0.89	1.05
ENSG00000196358:NTNG2	0.26	1.04	5.89	4.02	1.54	0.59	0.03	0.14	0.09	0.14
ENSG00000196361:ELAVL3	0	0.01	0.66	0.21	0.29	0.47	0.01	0.02	0.32	0.51
ENSG00000196365:LONP1	25.97	32.35	34.33	34.34	39.9	38.05	6.39	14.98	53.22	31.02
ENSG00000196367:TRRAP	12.57	14.88	119.58	88.13	23.68	18.15	3.84	16.06	5.77	1.64
ENSG00000196371:FUT4	2.13	2.16	2.09	8.99	5.68	3.66	0.75	2.59	2.92	0.74
ENSG00000196372:ASB13	1.98	2.87	10.3	6.77	7.06	4.02	1.06	3.91	5.86	1.59
ENSG00000196376:SLC35F1	0.19	0.31	0.03	0	0.07	0.05	0.04	0.06	0.21	0.2
ENSG00000196396:PTPN1	32.64	33.98	27.31	26.49	119.55	53.27	2.99	5.64	16.4	2.92
ENSG00000196405:EVL	29.45	53.19	16.67	21.51	217.55	201.29	0.55	1.18	1.08	0.72
ENSG00000196407:THEM5	0.31	0.97	0.15	0	0	0	0.01	0	1.98	1.37
ENSG00000196408:NOXO1	0.2	0.64	2.86	3.86	0.5	0.32	0.75	1.37	4.53	132.24
ENSG00000196411:EPHB4	62.02	57	19.53	12.96	7.88	12.27	1.79	4.79	16.56	18.93
ENSG00000196415:PRTN3	0.16	0.13	0.19	0	0	0	0.01	0	0.43	1.37
ENSG00000196419:XRCC6	115.84	108.19	15.21	9.02	27.12	27.44	4.59	8.66	18.69	65.57
ENSG00000196422:PPP1R26	2.36	3.83	0.74	0.49	6.21	4.63	0.81	2.45	5.3	0.66
ENSG00000196428:TSC22D2	56.81	79.02	19.79	13.64	34.6	32.19	3.99	11.57	19.03	9.25
ENSG00000196431:CRYBA4	0	0	0.15	0	0.26	0.38	0.02	0.15	0.07	0.13
ENSG00000196449:YRDC	10.62	10.71	34.6	21.52	20.16	14.6	2.46	4.49	12.79	21.06
ENSG00000196453:ZNF777	11.2	12.38	23.02	12.01	31.1	24.39	0.74	2.24	7.5	15.23
ENSG00000196455:PIK3R4	18	25.37	21.55	16.9	24.74	24.78	3.62	6.59	8.28	6.54
ENSG00000196460:RFX8	0.35	1.15	1.98	1.85	0	0.1	0.28	0.3	0.02	0.27
ENSG00000196468:FGF16	0	0	0.03	0.15	0	0	0	0	4.77	0
ENSG00000196476:C20orf96	2.1	3.21	0.11	0.05	0.98	1.02	0.09	0.25	0	0
ENSG00000196482:ESRRG	39.52	36.67	0.1	0.3	0.37	0.47	0.03	0.16	0.1	0.12
ENSG00000196497:IPO4	7.1	8.23	48.06	43.27	12.24	12.55	1.8	4.57	12.52	17.22
ENSG00000196498:NCOR2	18.2	29.52	141.98	89.06	43.39	29.93	1.33	6.2	14.47	15.77
ENSG00000196503:ARL9	0.03	0.09	0.7	0	0.38	0.37	0.09	0.29	0.85	2.43
ENSG00000196504:PRPF40A	42.67	43.33	45.74	34.49	45.17	43.89	4.71	7.36	56.57	5.72
ENSG00000196505:GDAP2	10.88	8.8	20.1	28.96	13.07	11.61	2.99	4.93	9.08	1.15
ENSG00000196510:ANAPC7	24.17	36.74	22.6	24.95	25.34	25.24	4.43	7.14	21.83	17.23
ENSG00000196526:AFAP1	2.62	7.6	58.98	30.64	6.87	7.44	0.71	2.59	16.13	0.8
ENSG00000196531:NACA	358.97	436.57	275.15	326.97	466.58	420.77	83.25	115.06	94.09	217.97
ENSG00000196535:MYO18A	9.77	32.59	59.33	61.15	32.27	28.52	11.43	40.41	55.2	12
ENSG00000196542:SPTSSB	0.02	0.05	0.07	0	0.99	0.72	0	0	0	0
ENSG00000196547:MAN2A2	55.78	72.4	18.87	14.54	44.53	54.33	2.15	6.63	26.93	29.21
ENSG00000196549:MME	47.3	65.93	63.39	38.73	222.3	284.39	0.07	0.04	338.44	41.35
ENSG00000196553:CCDC196	0	0	0	0	0.09	0.75	0.01	0.02	0	0
ENSG00000196557:CACNA1H	1.77	2.43	0.09	0.05	4.62	5.38	0.48	1.63	0.49	0.35
ENSG00000196562:SULF2	9.56	12.21	83.51	50.63	13.27	3.38	0.18	0.79	80.25	39.42
ENSG00000196570:PFN3	0	0	0	0	1.96	1.65	0	0	1.1	0.66
ENSG00000196581:AJAP1	0.99	0.02	0.06	0.36	5.48	4.24	0	0	0.06	0
ENSG00000196584:XRCC2	4.76	6.51	3.59	3.11	3.8	1.47	0.06	0.14	6.81	9.09
ENSG00000196586:MYO6	9.65	12.01	22.91	32.95	74.18	51.2	12.78	22.89	55.34	11.49
ENSG00000196588:MRTFA	7.43	12.81	16.35	11.22	22.18	20.09	0.49	2.58	6.51	27.11
ENSG00000196591:HDAC2	77.67	82.85	31.71	25.47	48.31	40.28	8.88	14.6	39.85	18.06
ENSG00000196628:TCF4	26.92	43.14	38.92	25.17	13.77	14.94	7.29	15.01	14.36	3.24
ENSG00000196632:WNK3	0.12	0.41	1.93	1.26	0.01	0.08	0.09	0.16	0.67	0.23
ENSG00000196639:HRH1	2.21	3.49	0.08	0.17	2.24	2.1	0.33	0.53	0.18	1.03
ENSG00000196642:RABL6	22.92	33.09	57.8	45.7	63.52	57.54	2.91	12.58	30.78	8.98
ENSG00000196655:TRAPPC4	21.88	31.83	61.86	62.69	66.77	70.15	6.59	7.57	24.91	49.66
ENSG00000196660:SLC30A10	0.13	0.1	0.06	0.38	0.1	0	0.01	0	0.78	0.05
ENSG00000196663:TECPR2	4.92	5.31	8.06	4.4	5.79	5.95	0.48	2.01	6.45	4.61
ENSG00000196678:ERI2	9.91	12.62	5.45	3.95	2.34	2.29	0.2	0.18	0.88	0.2
ENSG00000196700:ZNF512B	7.35	10.35	29.27	20.61	20.38	18.55	0.58	1.81	8.95	2.71
ENSG00000196711:ALKAL1	0	0	0	0	1.87	0.23	0.01	0.01	0.1	0.28
ENSG00000196712:NF1	27.85	29.98	6.87	5.23	6.75	5.39	3.56	7.64	5.86	1.82
ENSG00000196715:VKORC1L1	14.34	14.69	34.4	23.62	58.18	42.29	5.81	9.77	79.18	41.78
ENSG00000196730:DAPK1	104.92	196.01	44.5	26.96	40	45.88	2.02	6.46	7.97	6.71
ENSG00000196743:GM2A	229.01	162.42	220.01	231.37	129.23	84.98	266.04	554.25	51.88	170.42
ENSG00000196776:CD47	57.48	91.01	60.47	60.26	106.21	110.63	29.51	50.01	40.2	66.74
ENSG00000196781:TLE1	21.1	32.96	10.42	9.37	14.84	13.51	1.08	3.01	51.68	20.03
ENSG00000196782:MAML3	3.65	5.75	22.46	11.13	14.28	12.89	0.67	2.71	6.73	2.27
ENSG00000196792:STRN3	16.4	18.8	42.42	28.8	30.37	27.36	5.18	8.66	55.78	11.02
ENSG00000196811:CHRNG	0.12	0.04	0.02	0.03	0.09	0.1	0	0	0	0
ENSG00000196814:MVB12B	19.05	21.6	11.76	6.37	4.63	7.39	0.48	1.11	2.04	0.55
ENSG00000196821:ILRUN	19.58	27.91	108.97	81.67	52.57	54.7	6.39	14.05	43.53	13.26
ENSG00000196839:ADA	1.4	1.85	121.7	88.13	314.28	193.76	1.78	2.53	34	21
ENSG00000196843:ARID5A	3.8	8.6	6.85	9.85	9.38	7.04	2.58	3.45	12.55	47.8
ENSG00000196844:PATE2	0.08	0.28	0.28	0.11	0	0	0	0	0	0
ENSG00000196850:PPTC7	9.77	9.74	12.84	12.17	12.01	10.01	2.98	4.41	17.84	1.11
ENSG00000196860:TOMM20L	0	0.19	0	0	3.92	3.19	0.38	0	0	0.19
ENSG00000196865:NHLRC2	12.86	13.83	11.12	9.45	6.61	6.79	4.89	9.86	3.32	0.75
ENSG00000196872:CRACDL	1.85	4.66	2.46	2.02	7.17	5.88	0.78	2.22	5.39	15.35
ENSG00000196878:LAMB3	0.85	9.94	7.37	32.98	40.2	15.29	12.8	35.42	103.39	59.99
ENSG00000196914:ARHGEF12	53.82	67.45	49.34	23.81	32.7	29.45	11.89	25.29	31.74	3.95
ENSG00000196923:PDLIM7	18.83	49.03	59.37	44.34	49.59	47.2	7.75	24.17	153.82	94.15
ENSG00000196924:FLNA	32.55	100.1	213.04	212.08	138.18	125.3	22.51	86.77	80.6	51.27
ENSG00000196932:TMEM26	1.45	1.6	0.45	1.02	0.98	0.67	0.38	0.4	1.95	1.06
ENSG00000196937:FAM3C	58.93	54.7	36.5	26.78	40.99	39.23	12.05	17.07	221.72	263.03
ENSG00000196943:NOP9	6.96	8.98	21.16	12.41	16.68	14.31	1.13	2.2	48.94	42.08
ENSG00000196950:SLC39A10	10.86	11.33	25.46	8.92	51.17	43.49	7.41	12.91	30.79	5.72
ENSG00000196968:FUT11	19.11	25.46	15.42	12.05	6.24	6.36	3.56	7.99	7.76	3.78
ENSG00000196975:ANXA4	146.17	197.42	141.02	126.18	74.6	107.96	20.31	28.02	535.46	152.67
ENSG00000196990:FAM163B	0.12	0.73	0.05	0	0	0	0	0	0.25	0.3
ENSG00000196998:WDR45	110.78	107.04	79.73	66.15	56.28	49.92	5.22	13.18	10.43	6.28
ENSG00000197006:METTL9	42.62	45.3	70.23	55.08	157.21	86.29	7.6	13.17	46.01	39.81
ENSG00000197024:ZNF398	5.43	6.15	3.98	5.52	2.33	2.72	1.03	2.21	4.99	1.53
ENSG00000197043:ANXA6	240.64	237.29	67.71	75.19	335.26	362.81	15.15	31.37	150.19	70.57
ENSG00000197045:GMFB	32.49	28.85	66.11	61.95	32.67	30.84	9.96	12.24	12.54	7.98
ENSG00000197046:SIGLEC15	0.13	0.23	0.09	0.07	0.58	0.39	0.02	0.07	0.16	0
ENSG00000197056:ZMYM1	5.66	8	16.65	12.01	11.58	11.54	1.67	3.02	0.29	0.94
ENSG00000197057:DTHD1	0.02	0.09	0.02	0	0.03	0.03	0	0	1.42	0.33
ENSG00000197063:MAFG	9.87	13.17	68.36	48.99	38.16	26.68	1.44	5.69	4.4	0.25
ENSG00000197070:ARRDC1	43.7	72.76	16.73	20.8	94.23	68.74	1.51	3.58	30.78	55.08
ENSG00000197077:KIAA1671	2.03	3.14	41.3	18.96	29.61	12.72	0.52	1.13	20.02	2.03
ENSG00000197081:IGF2R	27.15	25.23	124.69	85.76	47.1	51.09	3.32	16.84	45.83	10.39
ENSG00000197093:GAL3ST4	7.25	14.1	0.33	0.47	3.84	3.27	0.42	0.66	2.44	4.49
ENSG00000197102:DYNC1H1	73.44	96.01	122.27	103	62.94	62.35	8.36	29.83	26.38	13.44
ENSG00000197106:SLC6A17	0.56	0.33	0.99	1.38	0.29	0.14	0.11	0.64	0	0
ENSG00000197111:PCBP2	328.53	372.05	374.88	287.63	321.07	267.12	16.5	40.36	79.11	89.77
ENSG00000197114:ZGPAT	10.32	15.56	19.47	16.57	118.27	104.16	6.82	17.5	51.5	79.05
ENSG00000197121:PGAP1	6.41	7.36	1.37	3.58	1.23	1.82	2.21	3.89	0.96	0.28
ENSG00000197122:SRC	8.16	17.41	75.42	48.36	38.57	36.51	1.45	4.05	8.83	4.69
ENSG00000197136:PCNX3	16.96	22.86	39.57	28.72	26.28	25.74	1.36	5.49	13.91	36.41
ENSG00000197140:ADAM32	0.88	1.38	0.15	0.04	0.03	0.1	0.11	0.18	0	0
ENSG00000197142:ACSL5	5.67	5.6	25.85	40.67	42	61.69	4.3	8.01	55.08	20.59
ENSG00000197150:ABCB8	34.6	37.46	21.87	24.36	25.15	21.15	2.92	7.05	23.15	30.61
ENSG00000197157:SND1	65.75	68.51	70.94	57.3	103.12	111.08	29.25	72.72	50.76	25
ENSG00000197168:NEK5	1.01	2.13	0.17	1.03	0.17	0.14	0.07	0.1	2.64	0.57
ENSG00000197170:PSMD12	27.48	33	57.67	55.99	82.51	87.13	6.05	10.74	88.67	35.25
ENSG00000197181:PIWIL2	0.51	0.86	2.45	1.21	0.21	0.03	0.06	0.15	0.05	0.05
ENSG00000197183:NOL4L	6.54	10.48	7.15	7.41	4.28	3.93	0.2	0.94	4.49	2.46
ENSG00000197191:CYSRT1	0.66	0.9	2.73	1.04	5.33	5.17	0	0.04	2.84	4.47
ENSG00000197223:C1D	21.4	31.78	29.44	39.42	22.45	19.61	4.64	6.93	8.04	1.09
ENSG00000197226:TBC1D9B	34.04	50.62	37.39	38.89	35.44	35.88	1.91	5.02	14.3	5.88
ENSG00000197256:KANK2	24.62	53.92	17.73	20.55	18.12	15.15	2.82	8.46	20.2	16.8
ENSG00000197265:GTF2E2	13.23	13.94	50.96	44.4	56.81	34.22	2.58	4.08	43.27	34.29
ENSG00000197272:IL27	2.7	1.22	0.15	0.34	0.97	1.52	0.01	0	0.91	3.16
ENSG00000197273:GUCA2A	9.98	9.4	1.61	1.35	0	0	0	0	0.36	0.91
ENSG00000197275:RAD54B	0.89	1.3	2.13	2.49	1.53	1.56	1.09	1.98	30.27	1.66
ENSG00000197283:SYNGAP1	5.7	11.87	5.09	3.6	1.71	1.8	0.16	0.57	0.75	0.3
ENSG00000197296:FITM2	1.61	1.92	5.21	5.56	16.26	12.72	1.71	3.83	17.62	3.79
ENSG00000197299:BLM	2.97	2.66	2.77	5.14	5.53	5.75	0.16	0.28	0.41	0.33
ENSG00000197321:SVIL	10.41	14.8	10.15	9.21	25.57	28.14	2.22	5.93	46.13	22.89
ENSG00000197323:TRIM33	41.29	60.31	37.63	28.43	16.43	10.85	1.91	4.03	8.65	1.06
ENSG00000197324:LRP10	48.02	48.59	74.93	63.29	183.3	184.5	14.55	43.56	87.55	168.54
ENSG00000197329:PELI1	22.54	28.28	19.66	9.74	35.49	31.72	9.48	16.26	23.02	6.16
ENSG00000197345:MRPL21	17.16	21.45	28.37	26.62	17.79	14.88	1.71	4.79	70.7	97.79
ENSG00000197353:LYPD2	0	0.25	0	1.03	0	0	0	0.02	0	0
ENSG00000197355:UAP1L1	1.66	4.73	34.65	201.89	56.1	65.98	1.6	7.77	60.14	14.23
ENSG00000197361:FBXL22	0.48	0.64	0.49	0.46	0.62	0.65	0.18	0.75	1.81	1.39
ENSG00000197380:DACT3	0.94	1.5	2.29	3	1.08	1.22	1.1	3.93	0.29	1.81
ENSG00000197381:ADARB1	5.31	8.97	14.42	7.07	12.78	13.06	0.5	2.19	0.72	0.72
ENSG00000197386:HTT	16.44	21.52	14.62	10.97	11.65	11.77	1.08	3.94	2.9	0.95
ENSG00000197405:C5AR1	2.56	8.12	1.96	1.28	28.26	14.62	1.18	1.96	1.46	4.21
ENSG00000197415:VEPH1	1.61	1.17	0.05	0.22	9.98	5.61	0.54	1.07	0.26	0.46
ENSG00000197429:IPP	7.02	8.29	78.97	16.14	5.47	5.63	1.63	3.2	77.33	34.95
ENSG00000197430:OPALIN	0	0.02	0	0	0	0	0	0	0	0
ENSG00000197442:MAP3K5	1.56	3.87	6.66	8.53	13.94	9.99	2.64	4.25	2.96	2.94
ENSG00000197444:OGDHL	0.22	0.02	4.41	11.74	0.02	0	0	0.09	0.12	0.02
ENSG00000197446:CYP2F1	1.35	1.5	0	0	0	0	0.02	0.08	0.82	0.04
ENSG00000197448:GSTK1	143.6	172.01	13.17	7.58	71.86	53.45	2.87	5.32	75.22	44.27
ENSG00000197457:STMN3	6.57	7.49	0	0	0.06	0.12	0.04	0.14	36.51	3.45
ENSG00000197461:PDGFA	8.1	20.06	63.6	35.32	18.68	25.08	1.87	5.54	7.2	3.16
ENSG00000197467:COL13A1	0.22	1.09	1.59	2.49	0.08	0.13	0.22	0.4	7.54	16.83
ENSG00000197471:SPN	0.62	0.81	4.99	3.2	1.74	1.56	0.07	0.07	3.32	3.99
ENSG00000197483:ZNF628	2.03	2.45	5.11	4.23	11.33	5.65	0.25	1.25	1	3.27
ENSG00000197496:SLC2A10	2.17	4.86	1.63	1.23	1.89	0.77	0.6	3.32	1.38	1.95
ENSG00000197498:RPF2	10.91	12.24	9.78	12.76	13.11	9.67	3.14	3.94	10.84	16.65
ENSG00000197506:SLC28A3	0.06	0.07	1.81	0.66	5	5.8	0.01	0	0.03	0.06
ENSG00000197530:MIB2	14.85	48.62	34.97	29.4	40.68	53.53	2.22	7.81	8.61	14.09
ENSG00000197535:MYO5A	3.89	4.84	46.94	29.03	4.67	3.72	1.1	1.71	6.77	0.46
ENSG00000197540:GZMM	0.29	0.28	9.01	6.18	0.21	0.12	0.06	0.12	0.14	0.19
ENSG00000197548:ATG7	13.45	15.49	18.84	15.25	7.14	5.95	1.63	3.53	7.51	10.64
ENSG00000197555:SIPA1L1	36.42	22.12	18.26	13.22	36.72	38.21	3.89	11.65	8.65	5.11
ENSG00000197561:ELANE	0.3	0.14	0	0	0	0	0	0.09	0.09	2.18
ENSG00000197563:PIGN	27.48	27.11	12.47	6.52	8.19	7.88	4.33	5.69	1.74	2.22
ENSG00000197580:BCO2	1.65	4.43	0.13	0.15	0.88	1.01	0.08	0.21	6.98	5.01
ENSG00000197584:KCNMB2	0.4	0.05	0.08	8.8	0	0	0	0	0	0
ENSG00000197586:ENTPD6	19.53	31.89	6.85	6	10.32	7.48	3.09	3.91	3.08	9.47
ENSG00000197587:DMBX1	0	0.01	0	0	0.29	0.43	0	0	0	0
ENSG00000197591:OR11L1	0	0	0	0.08	0	0	0	0	0	0
ENSG00000197594:ENPP1	6.1	32.26	3.58	2.76	24.56	23.01	9.28	16.61	2.34	1.82
ENSG00000197599:CCDC154	0.34	2.06	0.05	0.17	0	0.04	0.22	0.51	0.76	0.24
ENSG00000197601:FAR1	17.65	26.17	22.27	16.12	43.65	42.44	3.32	5.85	13.39	18.64
ENSG00000197603:CPLANE1	6.19	8.48	7.33	3.4	4.82	6.4	0.32	0.56	2.66	0.8
ENSG00000197614:MFAP5	234.39	154.87	306.33	260.43	11.56	59.3	0.64	1.28	14.45	13.08
ENSG00000197616:MYH6	0.04	0.04	0.65	0.17	0.7	0.29	0.38	0.69	1.34	0.37
ENSG00000197622:CDC42SE1	115.18	119.52	110.27	57.25	59.4	51.26	12.63	23.98	273.36	117.81
ENSG00000197635:DPP4	89.74	130.35	1.37	2.79	3.84	7.85	0.61	1	92.59	73.33
ENSG00000197646:PDCD1LG2	0.78	1.97	0.18	0.15	0.29	0.22	0.16	0.17	2.73	4.17
ENSG00000197651:CCER1	0.02	0	0	0	0	0	0.01	0.04	0.03	0
ENSG00000197653:DNAH10	0.21	0.25	0.94	0.77	17.26	14.24	0.07	0.14	0.98	0.6
ENSG00000197674:OR51C1	0.1	0.08	0.21	0	0	0	0	0.06	0.24	0
ENSG00000197694:SPTAN1	70.92	124.44	141.33	170.29	104.92	116.14	10.49	30.4	228.67	61.57
ENSG00000197696:NMB	1.04	0.71	15.09	19.08	8.86	15.57	0.24	0.62	2.36	12.06
ENSG00000197702:PARVA	12.86	17.12	104.17	80.48	85.45	58.79	5.51	13.61	80.52	31.84
ENSG00000197705:KLHL14	0.49	0.68	0	0	0.2	0.08	0	0.02	7.47	4.77
ENSG00000197712:FAM114A1	25.14	29.33	31.35	25.49	17.74	11.3	3.41	8.23	11.88	3.14
ENSG00000197724:PHF2	27.21	41.37	35.52	20.31	14.37	13.28	1.3	3.5	10.9	2.23
ENSG00000197753:LHFPL5	6.92	9.06	0	0.15	0	0	0.02	0.01	1.88	4.48
ENSG00000197757:HOXC6	2.35	6.05	1.49	2.36	0.64	0.4	0.09	0.48	3.27	4.82
ENSG00000197763:TXNRD3	2.11	1.81	2.97	5.31	5.27	4.23	0.55	2.13	6.76	4.97
ENSG00000197768:STPG3	0.6	1.08	0.11	0.44	0	0	0	0	0.12	0.09
ENSG00000197771:MCMBP	37.03	32.09	25.78	25.47	39.37	29.22	4.61	7.75	19.7	17.9
ENSG00000197776:KLHDC1	2.46	3.96	3.92	3.42	2.72	2.91	0.41	0.65	2.49	1.07
ENSG00000197780:TAF13	32.88	22.91	27.19	22.86	29.86	25.63	4.91	7.07	90.97	28.54
ENSG00000197785:ATAD3A	12.42	13.78	28.49	26.89	15.87	14.47	2.18	4.63	17.03	22.11
ENSG00000197798:FAM118B	7.15	9.46	14.45	27.01	20.25	17.43	5.29	13.79	33.42	19.88
ENSG00000197816:CCDC180	0.73	1.83	0.02	0.05	0.01	0.03	0.04	0.3	0.51	0.13
ENSG00000197818:SLC9A8	4.74	7.26	22.29	18.92	10.83	9.67	0.39	0.89	3.97	1.38
ENSG00000197822:OCLN	12.64	12.29	7.25	23.23	133.99	135.23	10.42	13.87	263.36	43.05
ENSG00000197826:CFAP299	0.09	0	0.06	0.21	0	0	0.07	0.03	15.7	7.02
ENSG00000197852:INKA2	2.69	3.78	0.49	0.67	3.21	2.87	0.48	1.81	0.59	3
ENSG00000197858:GPAA1	71.5	83.04	21.73	16.83	65.7	68	5.37	13.28	12.38	35.89
ENSG00000197859:ADAMTSL2	0.36	0.86	2.25	4	4.22	8.29	0.09	0.29	5.81	2.96
ENSG00000197860:SGTB	1.5	2.58	2.84	1.83	0.48	0.14	0.24	0.44	0.9	4.78
ENSG00000197872:CYRIA	31.31	35.6	5.32	2.35	8.14	4.76	0.48	1.88	3.77	12.71
ENSG00000197879:MYO1C	74.58	97.94	159.46	195.55	82.15	81.87	7.33	21.79	89.84	44.44
ENSG00000197885:NKIRAS1	5.72	6.02	12.52	15.25	1.05	2.16	0.67	1.04	11.41	9.73
ENSG00000197889:MEIG1	1.43	0.99	0.21	0	0	0	0.01	0.01	1.77	1.05
ENSG00000197891:SLC22A12	0	0	0.08	0.5	0	0	0.01	0	0.23	0.11
ENSG00000197892:KIF13B	2.21	3.94	29.87	15.99	20.56	12.19	12	24.36	25.16	1.56
ENSG00000197893:NRAP	0	0	0.21	0.15	0.24	0.3	0.16	0.41	0.34	0.23
ENSG00000197901:SLC22A6	0	0	0	0.21	0	0	0.01	0.01	0.06	0.76
ENSG00000197905:TEAD4	5.16	5.12	89.35	59.6	36.27	35.27	2.23	9.09	66.75	21.98
ENSG00000197912:SPG7	38.58	67.52	33.37	29.6	33.18	29.49	2.49	7.45	27.19	8.6
ENSG00000197921:HES5	0.19	0.42	0.04	0	0	0	0	0	0.06	1.11
ENSG00000197930:ERO1A	27.9	32.19	128.32	118.53	20.25	10.49	5.44	9.53	2.14	0.76
ENSG00000197943:PLCG2	5.72	21.04	4.04	2.23	17.76	14.42	0.89	2.18	1.78	0.94
ENSG00000197956:S100A6	309.32	346.26	1073.8	1938.11	5.17	1.83	203.24	205.72	21829.56	3172.24
